Model,Brand,Date of Sale,Sale Price (€),Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location,Car Age at Sale
Audi Q5 (S line),Audi,2024-03-29,31030.0,2018,36285,SUV,Automatic,Petrol,Red Audi Q5S line 2.0 TFSI quattro 252 PS S tronic 5dr1 previous owner,Roscommon,6
Audi S3 (TFSI),Audi,2024-03-31,30412.0,2017,40838,Hatchback,Automatic,Petrol,Blue Audi S32.0 S3 SPORTBACK TFSI QUATTRO BLACK EDITION 5d 306 BHP BLACK EDITION+SUPER SPORT SEATS,Cork,7
Audi A1 (S line),Audi,2024-03-31,19280.0,2019,28902,Hatchback,Manual,Petrol,Blue Audi A130 TFSI S Line 5dr 1.0,Wexford,5
Audi A1 (S line),Audi,2024-04-01,19504.0,2019,15311,Hatchback,Manual,Petrol,Silver Audi A11.0 TFSI 30 S line Sportback Euro 6 (s/s) 5dr,Limerick,5
Audi Q5 (TDI),Audi,2024-04-01,8267.0,2009,100920,SUV,Manual,Diesel,Black Audi Q52.0 TDI QUATTRO DPF S LINE 5d 168 BHP 12 MONTH MOT,Dublin,15
Audi A3 (S line),Audi,2024-04-03,4780.0,2011,117500,Hatchback,Manual,Diesel,Blue Audi A32.0 TDI S line Euro 5 (s/s) 3dr4 previous owners,Dublin,13
Audi A5 (TDI),Audi,2024-04-04,11437.0,2013,89106,Coupe,Automatic,Diesel,Navy Audi A52.0 TDI Black Edition Multitronic 2dr3 previous owners,Dublin,11
Audi Q2 (Technik),Audi,2024-04-05,20153.0,2021,17158,SUV,Manual,Petrol,Red Audi Q21.0 TFSI TECHNIK 5d 109 BHP Parking Sensors-Cruise Control1 previous owner,Kilkenny,3
Audi A4 (TFSI),Audi,2024-04-06,14941.0,2014,43082,Saloon,Automatic,Petrol,Red Audi A42.0 TFSI S line S Tronic quattro 4dr2 previous owners,Cork,10
Audi R8 (FSI V8),Audi,2024-04-06,37245.0,2008,81704,Coupe,Manual,Petrol,Blue Audi R8QUATTRO 4.2 2dr,Dublin,16
