Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Audi A3 (TFSI),Audi,13/04/2024,"€6,203.00",2010,"88,040",Hatchback,Manual,Petrol,Red Audi A31.8 TFSI S line Euro 5 3dr,Limerick
Audi Q3 (TFSI),Audi,13/04/2024,"€23,340.00",2017,"38,342",SUV,Automatic,Petrol,Red Audi Q32.0 TFSI QUATTRO BLACK EDITION 5d 178 BHP ** FULL HISTORY ** 19inch ALLOYS **2 previous owners,Dublin
Audi A4 Avant (TDI),Audi,13/04/2024,"€21,519.00",2017,"37,884",Estate,Automatic,Diesel,Grey Audi A4 Avant2L S line ultra TDI 5dr,Kildare
Audi RS5 (Nogaro Edition),Audi,14/04/2024,"€74,211.00",2021,"3,173",Coupe,Automatic,Petrol,Blue Audi RS52.9 TFSI V6 Nogaro Edition Tiptronic quattro Euro 6 (s/s) 2dr1 previous owner,Kilkenny
Audi TT (TFSI),Audi,2024-04-14,"€14,293.00",2012,"39,029 miles",Coupe,Automatic,Petrol,Blue Audi TT2.0 TFSI Black Edition S Tronic quattro 3dr,Dublin
Audi A4 Avant (SE),Audi,14/04/2024,"€9,341.00",2016,"124,613",Estate,Manual,Diesel,Blue Audi A4 Avant2.0 TDI ultra SE Euro 6 (s/s) 5dr1 previous owner,Limerick
Audi Q7 (S line Plus),Audi,15/04/2024,"€13,129.00",2012,"84,450",SUV,Automatic,Diesel,Audi Q73.0 TDI V6 S line Plus Tiptronic quattro Euro 5 (s/s) 5dr3 previous owners,Cork
Audi TT (TDI),Audi,15/04/2024,"€ 7,900",2010,"88,120",Coupe,Manual,Diesel,Black Audi TT2.0 TDI Sport Coupe 3dr Diesel Manual quattro Euro 5 (170 ps)3 previous owners,Kildare
Audi E-Tron (Technik),Audi,18/04/2024,"€44,195.00",2020,"13,531",SUV,Automatic,Electric,Blue Audi E-Tron230kW 50 Quattro 71kWh Technik 5dr Auto,Wexford
Audi A3 Cabriolet (S line),Audi,22/04/2024,"€24,656.00",2018,"20,736",Convertible,Automatic,Petrol,Grey Audi A3Cabriolet S line 35 TFSI 150 PS S tronic 1.5 2dr1 previous owner,Meath
Audi TT (Sport),Audi,23/04/2024,"€20,078.00",2018,"21,574",Coupe,Manual,Petrol,Red Audi TT2.0T FSI Sport 2dr2 previous owners,Dublin
Audi Q5 (TFSIe),Audi,23/04/2024,"€47,483.00",2021,"21,947",SUV,Automatic,Petrol Plug-In Hybrid,Red Audi Q52.0 TFSIe 50 S line S Tronic quattro Euro 6 (s/s) 5dr 17.9kWh1 previous owner,Dublin
Audi R8 (FSI V8),Audi,24/04/2024,"€58,989.00",2014,45655,Convertible,Automatic,Petrol,Blue Audi R84.2 FSI V8 Spyder S Tronic quattro Euro 5 2dr5 previous owners,Dublin
Audi A3 (CoD),Audi,25/04/2024,"€19,433.00",2019,26149,Hatchback,Manual,Petrol,Audi A3Audi A3 1.5 TFSI CoD 35 S line Sportback 5dr Petrol Manual,Kildare
Audi Q5 (TDI),Audi,2024-04-26,"€18,363.00",2016,"74,963 miles",SUV,Automatic,Diesel,Blue Audi Q52.0 TDI S line Plus S Tronic quattro Euro 6 (s/s) 5dr2 previous owners,Meath
Audi Q7 (TDI V6),Audi,26/04/2024,"€42,786.00",2019,"83,709 miles",SUV,Automatic,Diesel,Navy Audi Q73.0 TDI V6 50 Vorsprung Tiptronic quattro Euro 6 (s/s) 5dr,Kildare
Audi A4 (TFSI),Audi,26/04/2024,"€21,520.00",2019,"11,660",Saloon,Manual,Petrol,Grey Audi A435 TFSI Sport 4dr 2.0,Galway
Audi A1 (Sport),Audi,2024-04-26,"€6,825.00",2011,"75,421",Hatchback,Manual,Petrol,Navy Audi A1TFSI SPORT 1.4 3dr,Limerick
Audi A5 (TDI),Audi,27/04/2024,"€16,488.00",2016,"57,495",Coupe,Manual,Diesel,Black Audi A52.0 TDI Black Edition Plus (s/s) 2dr1 previous owner,Carlow
Audi A4 (TDI),Audi,27/04/2024,"€ 2,029",2008,"154,415",Saloon,Manual,Diesel,Audi A42.0 TDI S line 4dr5 previous owners,Meath
Audi A6 Saloon (TDI),Audi,2024-04-29,"€ 39,039",2022,"6,859",Saloon,Auto,Diesel,Black Audi A6 DIESEL SALOON40 TDI S Line 4dr S Tronic 2.01 previous owner,Wicklow
Audi A3 (S line),Audi,29/04/2024,"€10,222.00",2014,"80,120",Hatchback,Manual,Petrol,Audi A31.2 TFSI S LINE 3d 104 BHP,Sligo
Audi Q7 (S line),Audi,2024-04-30,"€50,074.00",2020,"24,954",SUV,Automatic,Diesel,Black Audi Q73.0 TDI V6 50 S line Tiptronic quattro Euro 6 (s/s) 5dr,Dublin
Audi Q2 (TDI),Audi,03/05/2024,"€19,189.00",2019,"13,113",SUV,Manual,Diesel,Black Audi Q2Sport 30 TDI 116 PS 6-speed 1.6 5dr2 previous owners,Dublin
