Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
BMW 1 Series (118d),BMW,2024-11-13,"€7,107.00",2013,"137,931 miles",Hatchback,Automatic,Diesel,Blue BMW 1 Series2.0 118d Urban Auto Euro 5 (s/s) 5dr3 previous owners,Wexford
BMW 1 Series (SE),BMW,14/11/2024,"€13,618.00",2017,"31,798",Hatchback,Automatic,Diesel,Black BMW 1 SERIES116d SE 5dr [Nav] Step Auto 1.53 previous owners,Carlow
BMW 4 Series Gran Coupe (420d),BMW,15/11/2024,"€ 13,202",2017,"97,480 miles",Hatchback,Automatic,Diesel,Black BMW 4 Series Gran Coupe420d SE Hatchback 2.0 Automatic Diesel 5dr2 previous owners,Dublin
BMW 1 Series (SE),BMW,15/11/2024,"€12,216.00",2016,"56,316",Hatchback,Manual,Petrol,Blue BMW 1 Series1.5L SE 118i 5dr,Kildare
BMW M4 (BiTurbo),BMW,15/11/2024,"€28,570.00",2016,"69,713 miles",Coupe,Automatic,Petrol,Black BMW M43.0 BiTurbo DCT Euro 6 (s/s) 2dr2 previous owners,Donegal
BMW 1 Series (123d),BMW,16/11/2024,"€5,228.00",2008,"154,386 miles",Coupe,Manual,Diesel,BMW 1 Series2.0 123d SE 2dr,Louth
BMW 3 Series (M340i),BMW,17/11/2024,"€47,469.00",2020,"11,664",Estate,Automatic,Petrol,Black BMW 3 SeriesM340i xDrive Touring 3.0 5dr2 previous owners,Donegal
BMW 2 Series (M Sport),BMW,18/11/2024,"€14,621.00",2016,"29,096",Coupe,Automatic,Petrol,Silver BMW 2 Series1.5 218i M Sport Auto (s/s) 2dr3 previous owners,Cork
BMW 3 Series (330d),BMW,18/11/2024,"€16,120.00",2014,"31,758",Saloon,Automatic,Diesel,Grey BMW 3 Series330d 3.0d XDRIVE LUXURY Auto One Owner FBMWSH1 previous owner,Dublin
BMW 3 Series (335i),BMW,18/11/2024,"€9,441.00",2009,"96,215",Coupe,Automatic,Petrol,Black BMW 3 Series3.0 335i M Sport Steptronic Euro 4 2dr5 previous owners,Dublin
BMW X3 (M Sport),BMW,19/11/2024,"€30,455.00",2019,"39,841",SUV,Automatic,Diesel,Black BMW X3 SeriesX3 xDrive20d M Sport 2.0 5dr1 previous owner,Tipperary
BMW 4 Series Gran Coupe (420i),BMW,2024-11-19,"€ 27,214",2021,"14,844",Hatchback,Manual,Petrol,Blue BMW 4 Series Gran Coupe420i M Sport Gran Coupe 2.0 5dr1 previous owner,Cork
BMW 1 Series (116i),BMW,20/11/2024,"€7,938.00",2015,"89,442 miles",Hatchback,Manual,Petrol,Red BMW 1 Series1.6 116i Sport Euro 6 (s/s) 3dr2 previous owners,Kildare
BMW X5 (40i),BMW,21/11/2024,"€56,126.00",2020,"6,249",SUV,Automatic,Petrol,Red BMW X5 SeriesX5 xDrive40i M Sport 3.0 5dr2 previous owners,Cavan
BMW 5 Series (MHT),BMW,23/11/2024,"€36,412.00",2020,"19,846",Saloon,Automatic,Diesel Hybrid,Silver BMW 5 Series2.0 520d MHT M Sport Auto Euro 6 (s/s) 4dr2 previous owners,Laois
