Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Mercedes-Benz GLA Class (GLA220 CDI),Benz,12/09/2024,"€14,278.00",2015,"88,216",SUV,Automatic,Diesel,Blue Mercedes-Benz Gla Class2.1 GLA220 CDI Sport 7G-DCT 4MATIC Euro 6 (s/s) 5dr4 previous owners,Limerick
Mercedes-Benz A Class (A220d),Benz,13/09/2024,"€15,764.00",2017,"64,021",Hatchback,Automatic,Diesel,Black Mercedes-Benz A Class2.1 A220d AMG Line 7G-DCT Euro 6 (s/s) 5dr2 previous owners,Dublin
Mercedes-Benz A Class (A180),Benz,13/09/2024,"€23,290.00",2019,"16,563",Hatchback,Manual,Petrol,Navy Mercedes-Benz A ClassA180 AMG Line 5dr 1.31 previous owner,Carlow
Mercedes-Benz C Class (Sport),Benz,2024-09-13,"€12,396.00",2014,"86,215 miles",Saloon,Manual,Diesel,Blue Mercedes-Benz C ClassC220 BlueTEC Sport 4dr 2.1,Cork
Mercedes-Benz GLA Class (GLA180),Benz,14/09/2024,"€22,873.00",2019,"26,020",SUV,Automatic,Petrol,Mercedes-Benz Gla Class1.6 GLA180 GPF Urban Edition SUV 5dr Petrol 7G-DCT Euro 6 (s/s) (122 ps)1 previous owner,Kildare
Mercedes-Benz GLC Class (AMG Line),Benz,14/09/2024,"€ 27,197",2017,"49,131",SUV,Automatic,Diesel,Red Mercedes-Benz GLCGLC 250d 4Matic AMG Line Premium 5dr 9G-Tronic 2.1,Cork
Mercedes-Benz CLA Class (AMG Line),Benz,14/09/2024,"€30,455.00",2021,10896,Saloon,Automatic,Petrol,Black Mercedes-Benz Cla Class1.3 CLA200 AMG Line Coupe 7G-DCT Euro 6 (s/s) 4dr,Dublin
Mercedes-Benz M Class (Sport),Benz,15/09/2024,"€13,904.00",2012,"92,193",SUV,Automatic,Diesel,Grey Mercedes-Benz M Class2.1 ML250 BlueTEC Sport SUV 5dr Diesel G-Tronic 4WD Euro 6 (s/s) (204 ps)3 previous owners,Dublin
Mercedes-Benz A Class (A200d),Benz,16/09/2024,"€15,364.00",2016,25202,Hatchback,Manual,Diesel,Mercedes-Benz A-Class2.1 A 200 D AMG LINE 5d 134 BHP DYNAMIC SELECT & DIAMOND CUT ALLOYS2 previous owners,Kildare
Mercedes-Benz GLC Class (AMG Line),Benz,2024-09-16,"€31,991.00",2019,"22,680",SUV,Automatic,Diesel,Grey Mercedes-Benz GLC220d 4Matic AMG Line Premium 5dr 9G-Tronic 2.11 previous owner,Dublin
Mercedes-Benz C Class (C220d),Benz,17/09/2024,"€18,180.00",2015,"34,750",Saloon,Automatic,Diesel,Blue Mercedes-Benz C Class2.1 C220d AMG Line (Premium Plus) 7G-Tronic+ Euro 6 (s/s) 4dr2 previous owners,Meath
Mercedes-Benz C Class (C220d),Benz,17/09/2024,"€ 18,948",2016,"71,552",Coupe,Automatic,Diesel,Blue Mercedes-Benz C Class2.1 C220d AMG Line (Premium) G-Tronic+ (s/s) 2dr1 previous owner,Wicklow
Mercedes-Benz A Class (Sport),Benz,2024-09-18,"€13,461.00",2014,"45,004",Hatchback,Automatic,Diesel,Silver Mercedes-Benz A Class1.8 A200 CDI Sport 7G-DCT Euro 5 (s/s) 5dr2 previous owners,Cork
Mercedes-Benz E Class (E63 V8 BiTurbo),Benz,2024-09-18,"€54,128.00",2017,"41,063",Saloon,Automatic,Petrol,Navy Mercedes-Benz E Class4.0 E63 V8 BiTurbo AMG S (Premium) SpdS MCT 4MATIC+ Euro 6 (s/s) 4dr,Meath
Mercedes-Benz C Class (C350e),Benz,19/09/2024,"€15,234.00",2016,"95,844 miles",Estate,Automatic,Petrol Plug-In Hybrid,Blue Mercedes-Benz C Class2.0 C350e 6.4kWh Sport G-Tronic+ Euro 6 (s/s) 5dr3 previous owners,Limerick
Mercedes-Benz CLA Class (CLA220d),Benz,19/09/2024,"€17,170.00",2016,"46,861",Estate,Automatic,Diesel,"Grey Mercedes-Benz CLA2.1 CLA 220 D AMG LINE 5d AUTO 174 BHP - PAN ROOF, SAT NAV, PRIVACY",Wexford
Mercedes-Benz A Class (A180d),Benz,2024-09-20,"€13,478.00",2016,"60,927",Hatchback,Automatic,Diesel,Silver Mercedes-Benz A Class1.5 A180d Sport (Executive) 7G-DCT Euro 6 (s/s) 5dr2 previous owners,Clare
Mercedes-Benz C Class (Sport),Benz,20/09/2024,"€10,734.00",2015,100463,Saloon,Auto,Diesel,Navy Mercedes-Benz C Class1.6 C200d Sport Saloon 4dr Diesel G-Tronic+ Euro 6 (s/s) (136 ps)1 previous owner,Kildare
Mercedes-Benz C Class (Executive SE),Benz,20/09/2024,"€8,930.00",2013,"60,392",Saloon,Manual,Diesel,Mercedes-Benz C Class2.1 C220 CDI Executive SE Euro 5 (s/s) 4dr2 previous owners,Roscommon
Mercedes-Benz A Class (A200),Benz,21/09/2024,"€ 23,067",2019,"42,517",Hatchback,Automatic,Petrol,Blue Mercedes-Benz A Class1.3 A200 AMG Line (Premium) Hatchback 5dr Petrol 7G-DCT Euro 6 (s/s) (163 ps)1 previous owner,Dublin
Mercedes-Benz C Class (C220),Benz,2024-09-22,"€7,464.00",2015,"118,351",Estate,Manual,Diesel,Black Mercedes-Benz C Class2.1 C220 BlueTEC SE Euro 6 (s/s) 5dr,Limerick
Mercedes-Benz E Class (E220d),Benz,2024-09-22,"€ 23,412",2017,"67,157 miles",Coupe,Automatic,Diesel,Navy Mercedes-Benz E Class2.0 E220d AMG Line Coupe 2dr Diesel G-Tronic+ Euro 6 (s/s) (194 ps)1 previous owner,Clare
Mercedes-Benz E Class (BlueTEC),Benz,22/09/2024,"€15,850.00",2015,"121,098",Estate,Automatic,Diesel Hybrid,Black Mercedes-Benz E Class2.1 E300dh BlueTEC AMG Night Edition Estate 5dr Diesel Hybrid G-Tronic+ Euro 5 (s/s) (231 ps)3 previous owners,Wexford
Mercedes-Benz A Class (BlueEfficiency),Benz,23/09/2024,"€12,096.00",2012,"69,440",Hatchback,Automatic,Diesel,Red Mercedes-Benz A Class1.8 A200 CDI BlueEfficiency AMG Sport Hatchback 5dr Diesel 7G-DCT Euro 5 (s/s) (136 ps)4 previous owners,Dublin
Mercedes-Benz E Class (BlueTEC),Benz,23/09/2024,"€18,123.00",2016,"38,416",Estate,Automatic,Diesel,Black Mercedes-Benz E Class2.1 E220 BlueTEC AMG Night Edition (Premium) G-Tronic+ Euro 6 (s/s) 5dr2 previous owners,Donegal
Mercedes-Benz GLA Class (GLA220d),Benz,24/09/2024,"€23,323.00",2018,"34,589",SUV,Automatic,Diesel,"Silver Mercedes-Benz Gla-Class2.1 GLA 220 D 4MATIC AMG LINE PREMIUM 5d 174 BHP PARKING SENSORS, 19"" ALLOYS, CAMERA",Dublin
Mercedes-Benz C Class (Sport),Benz,2024-09-28,"€9,227.00",2011,"72,814",Saloon,Automatic,Petrol,Silver Mercedes-Benz C Class1.8 C180 BlueEfficiency Sport G-Tronic+ Euro 5 (s/s) 4dr,Galway
Mercedes-Benz E Class (E220),Benz,28/09/2024,"€14,218.00",2015,"84,009",Estate,Automatic,Diesel,Mercedes-Benz E-Class2.1 E220 BLUETEC AMG LINE 5d 174 BHP NATIONWIDE DELIVERY AVAILABLE,Wexford
Mercedes-Benz E Class (Avantgarde),Benz,28/09/2024,"€5,959.00",2010,"92,237",Saloon,Automatic,Diesel,Mercedes-Benz E Class3.0 E350 CDI V6 BlueEfficiency Avantgarde G-Tronic Euro 5 4dr4 previous owners,Kerry
Mercedes-Benz C Class (C63 V8 BiTurbo),Benz,29/09/2024,"€72,775.00",2020,"8,376",Coupe,Automatic,Petrol,Red Mercedes-Benz C-Class CoupeC 63 AMG S Premium Plus 4.0 2dr1 previous owner,Meath
Mercedes-Benz GLE Class (GLE350d V6),Benz,29/09/2024,"€25,711.00",2018,"100,788",SUV,Automatic,Diesel,Silver Mercedes-Benz Gle-Class3.0 GLE 350 D 4MATIC AMG LINE PREMIUM 5d 255 BHP Top Spec excellent provenance ...,Wicklow
Mercedes-Benz E Class (E220 CDI),Benz,2024-09-29,"€12,276.00",2013,"73,150",Convertible,Automatic,Diesel,Red Mercedes-Benz E ClassE220 2.2 CDI BLUEEFFICIENCY SE Great Spec Low Tax FSH 2dr3 previous owners,Dublin
Mercedes-Benz CLA Class (CLA200),Benz,29/09/2024,"€37,210.00",2022,"8,168",Estate,Automatic,Petrol,Red Mercedes-Benz Cla ClassCLA 200 Shooting Brake 1.3 5dr,Dublin
Mercedes-Benz C Class (C220d),Benz,2024-09-29,"€ 17,619",2018,"65,986",Saloon,Automatic,Diesel,Black Mercedes-Benz C ClassC220d Sport 4dr 9G-Tronic 2.11 previous owner,Donegal
Mercedes-Benz C Class (C180),Benz,30/09/2024,"€22,183.00",2019,"21,469 miles",Estate,Manual,Petrol,"Black Mercedes-Benz C ClassC180 SE 5dr [Cruise control, DYNAMIC SELECT, DAB Digital radio, Bluetooth] 1.6",Cork
Mercedes-Benz A Class (Sport),Benz,30/09/2024,"€18,087.00",2017,"16,370",Hatchback,Automatic,Petrol,Red Mercedes-Benz A Class1.6 A180 Sport (Premium) Hatchback 5dr Petrol 7G-DCT Euro 6 (s/s) (122 ps)1 previous owner,Kilkenny
Mercedes-Benz C Class (Sport),Benz,2024-09-30,"€4,238.00",2010,"124,983",Saloon,Automatic,Diesel,Mercedes-Benz C Class2.1 C220 CDI BlueEfficiency Sport Auto Euro 5 4dr4 previous owners,Waterford
Mercedes-Benz GLC Class (AMG Line),Benz,30/09/2024,"€36,587.00",2019,"32,076",SUV,Automatic,Diesel,Blue Mercedes-Benz Glc Diesel EstateGLC 300d 4Matic AMG Line Premium 5dr 9G-Tronic 2.01 previous owner,Limerick
Mercedes-Benz GLC Class (AMG Line),Benz,2024-09-30,"€39,758.00",2019,"39,651",Coupe,Automatic,Diesel,Red Mercedes-Benz Glc Diesel CoupeGLC 300d 4Matic AMG Line Premium 5dr 9G-Tronic 2.01 previous owner,Wicklow
Mercedes-Benz E Class (Avantgarde),Benz,30/09/2024,"€ 3,842",2009,"135,299",Saloon,Auto,Diesel,"Blue Mercedes-Benz E Class2.1 E220 CDI Avantgarde Saloon 4dr Diesel Automatic (177 g/km, 170 bhp)4 previous owners",Kildare
Mercedes-Benz C Class (EQ Boost),Benz,2024-09-30,"€21,845.00",2019,"71,315",Coupe,Automatic,Petrol,Blue Mercedes-Benz C Class1.5 C200 EQ Boost AMG Line Coupe 2dr Petrol G-Tronic+ Euro 6 (s/s) (198 ps)1 previous owner,Wicklow
Mercedes-Benz CLA Class (CLA45),Benz,01/10/2024,"€26,606.00",2016,"61,303",Saloon,Automatic,Petrol,Navy Mercedes-Benz Cla Class2.0 CLA45 AMG Coupe SpdS DCT 4MATIC Euro 6 (s/s) 4dr4 previous owners,Galway
