Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Volkswagen Passat (TSI EVO),Volkswagen,26/09/2024,"€30,275.00",2021,"7,150",Estate,Automatic,Petrol,Volkswagen Passat1.5 TSI EVO R-Line 5dr DSG2 previous owners,Waterford
Volkswagen T-Roc (TSI EVO),Volkswagen,28/09/2024,"€24,165.00",2019,"21,141 miles",SUV,Automatic,Petrol,Navy Volkswagen T-Roc Hatchback1.5 TSI EVO SEL 5dr DSG1 previous owner,Donegal
Volkswagen Golf (BlueMotion Tech),Volkswagen,29/09/2024,"€9,157.00",2013,"83,944",Hatchback,Manual,Petrol,Silver Volkswagen Golf1.4 TSI BlueMotion Tech ACT GT Euro 6 (s/s) 5dr1 previous owner,Galway
Volkswagen Golf (S),Volkswagen,29/09/2024,"€5,089.00",2009,"62,046",Hatchback,Manual,Petrol,Volkswagen Golf1.4 S 5dr2 previous owners,Donegal
Volkswagen Golf (Match),Volkswagen,03/10/2024,"€ 9,780",2012,"41,347",Hatchback,Manual,Petrol,Blue Volkswagen Golf1.4 MATCH TSI 5d 121 BHP WARRANTY & BREAKDOWN COVER INCLUDED,Galway
Volkswagen Tiguan (R-Line),Volkswagen,04/10/2024,"€33,946.00",2021,"14,528",SUV,Automatic,Petrol,Blue Volkswagen Tiguan1.5 TSI (150ps) R-Line EVO DSG 5dr,Longford
Volkswagen Tiguan Allspace (R-Line Tech),Volkswagen,04/10/2024,"€31,035.00",2020,"35,557 miles",SUV,Automatic,Petrol,Volkswagen Tiguan Allspace1.5 TSI EVO R-Line Tech DSG Euro 6 (s/s) 5dr,Meath
Volkswagen Golf (R),Volkswagen,05/10/2024,"€28,627.00",2018,"20,786",Hatchback,Automatic,Petrol,Blue Volkswagen Golf2.0 R TSI DSG 5d 306 BHP5 previous owners,Tipperary
Volkswagen Polo (TSI),Volkswagen,2024-10-07,"€8,945.00",2019,"22,560",Hatchback,Manual,Petrol,Navy Volkswagen Polo1.0 TSI SE Hatchback 5dr Petrol Manual Euro 6 (s/s) (95 ps)2 previous owners,Donegal
Volkswagen T-Roc (TDI),Volkswagen,2024-10-08,"€22,294.00",2018,"19,952",SUV,Manual,Diesel,Volkswagen T-Roc1.6 TDI 115PS R-Line 5dr,Galway
Volkswagen Golf (R),Volkswagen,08/10/2024,"€18,194.00",2016,"92,585",Hatchback,Automatic,Petrol,"Blue Volkswagen Golf2.0 R DSG 5d 298 BHP SAT NAV, XENONS, DAB & 18"" ALLOYS1 previous owner",Tipperary
Volkswagen T-Roc (Design),Volkswagen,08/10/2024,"€19,443.00",2018,26385,SUV,Manual,Petrol,Grey Volkswagen T-Roc2017 1.0 TSI Design 115PS 5dr,Carlow
Volkswagen Passat (BlueMotion),Volkswagen,10/10/2024,"€12,604.00",2016,"62,988",Estate,Manual,Diesel,Silver Volkswagen Passat1.6 BLUEMOTION TDI (120) 5dr,Kildare
Volkswagen Polo (S),Volkswagen,11/10/2024,"€5,248.00",2013,"75,938",Hatchback,Manual,Petrol,Red Volkswagen Polo1.2 S Euro 5 3dr2 previous owners,Dublin
Volkswagen up! (High up!),Volkswagen,12/10/2024,"€9,486.00",2017,"31,431",Hatchback,Manual,Petrol,Black Volkswagen UP!Up 2016 1.0 75PS High 5Dr1 previous owner,Carlow
Volkswagen Golf (BlueMotion Tech),Volkswagen,13/10/2024,"€5,919.00",2013,"124,088 miles",Hatchback,Manual,Diesel,Volkswagen Golf1.6 TDI BlueMotion Tech S Euro 5 (s/s) 5dr4 previous owners,Galway
